Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [1/50], Loss: 0.0172, val_loss: 0.0139, val_acc: 0.5080
Epoch [2/50], Loss: 0.0133, val_loss: 0.0122, val_acc: 0.5715
Epoch [3/50], Loss: 0.0117, val_loss: 0.0110, val_acc: 0.6052
Epoch [4/50], Loss: 0.0105, val_loss: 0.0100, val_acc: 0.6405
Epoch [5/50], Loss: 0.0096, val_loss: 0.0096, val_acc: 0.6681
Epoch [6/50], Loss: 0.0087, val_loss: 0.0092, val_acc: 0.6817
Epoch [7/50], Loss: 0.0080, val_loss: 0.0090, val_acc: 0.6842
Epoch [8/50], Loss: 0.0074, val_loss: 0.0088, val_acc: 0.7005
Epoch [9/50], Loss: 0.0068, val_loss: 0.0089, val_acc: 0.6930
Epoch [10/50], Loss: 0.0062, val_loss: 0.0092, val_acc: 0.6906
Epoch [11/50], Loss: 0.0056, val_loss: 0.0088, val_acc: 0.7073
Epoch [12/50], Loss: 0.0051, val_loss: 0.0093, val_acc: 0.6962
Epoch [13/50], Loss: 0.0046, val_loss: 0.0098, val_acc: 0.6967
Epoch [14/50], Loss: 0.0042, val_loss: 0.0099, val_acc: 0.6962
Epoch [15/50], Loss: 0.0038, val_loss: 0.0102, val_acc: 0.6947
Epoch [16/50], Loss: 0.0034, val_loss: 0.0103, val_acc: 0.6965
Epoch [17/50], Loss: 0.0030, val_loss: 0.0109, val_acc: 0.6932
Epoch [18/50], Loss: 0.0029, val_loss: 0.0110, val_acc: 0.6953
Epoch [19/50], Loss: 0.0026, val_loss: 0.0119, val_acc: 0.6870
Epoch [20/50], Loss: 0.0024, val_loss: 0.0117, val_acc: 0.6962
Epoch [21/50], Loss: 0.0022, val_loss: 0.0123, val_acc: 0.6965
Epoch [22/50], Loss: 0.0021, val_loss: 0.0122, val_acc: 0.6941
Epoch [23/50], Loss: 0.0020, val_loss: 0.0126, val_acc: 0.6876
Epoch [24/50], Loss: 0.0019, val_loss: 0.0126, val_acc: 0.6864
Epoch [25/50], Loss: 0.0017, val_loss: 0.0129, val_acc: 0.6900
Epoch [26/50], Loss: 0.0016, val_loss: 0.0132, val_acc: 0.6909
Epoch [27/50], Loss: 0.0016, val_loss: 0.0133, val_acc: 0.6904
Epoch [28/50], Loss: 0.0015, val_loss: 0.0133, val_acc: 0.6944
Epoch [29/50], Loss: 0.0014, val_loss: 0.0134, val_acc: 0.6852
Epoch [30/50], Loss: 0.0014, val_loss: 0.0136, val_acc: 0.6937
Epoch [31/50], Loss: 0.0013, val_loss: 0.0133, val_acc: 0.6887
Epoch [32/50], Loss: 0.0013, val_loss: 0.0134, val_acc: 0.6868
Epoch [33/50], Loss: 0.0012, val_loss: 0.0139, val_acc: 0.6884
Epoch [34/50], Loss: 0.0012, val_loss: 0.0138, val_acc: 0.6874
Epoch [35/50], Loss: 0.0012, val_loss: 0.0139, val_acc: 0.6916
Epoch [36/50], Loss: 0.0011, val_loss: 0.0137, val_acc: 0.6882
Epoch [37/50], Loss: 0.0011, val_loss: 0.0138, val_acc: 0.6883
Epoch [38/50], Loss: 0.0010, val_loss: 0.0139, val_acc: 0.6852
Epoch [39/50], Loss: 0.0010, val_loss: 0.0142, val_acc: 0.6909
Epoch [40/50], Loss: 0.0010, val_loss: 0.0140, val_acc: 0.6878
Epoch [41/50], Loss: 0.0009, val_loss: 0.0142, val_acc: 0.6881
Epoch [42/50], Loss: 0.0009, val_loss: 0.0140, val_acc: 0.6882
Epoch [43/50], Loss: 0.0008, val_loss: 0.0141, val_acc: 0.6852
Epoch [44/50], Loss: 0.0009, val_loss: 0.0145, val_acc: 0.6828
Epoch [45/50], Loss: 0.0009, val_loss: 0.0144, val_acc: 0.6883
Epoch [46/50], Loss: 0.0009, val_loss: 0.0140, val_acc: 0.6841
Epoch [47/50], Loss: 0.0008, val_loss: 0.0144, val_acc: 0.6806
Epoch [48/50], Loss: 0.0008, val_loss: 0.0143, val_acc: 0.6902
Epoch [49/50], Loss: 0.0008, val_loss: 0.0144, val_acc: 0.6806
Epoch [50/50], Loss: 0.0008, val_loss: 0.0142, val_acc: 0.6897
test_accuracy: 68.75 %
learning time: 153.761 [sec]
